Prompt Number,Prompt,Challenge Category,,
Class01_Img01_Prompt01,Add spectacles,"ADDITION, SPECIFIC OBJECT",,
Class01_Img01_Prompt02,Add an earring,"ADDITION, SPECIFIC OBJECT",,
Class01_Img01_Prompt03,Change the hairstyle to a top-knot,"CHANGE, SPECIFIC OBJECT",,
Class01_Img01_Prompt04,Change the hair color to chocolate brown,"CHANGE, SPECIFIC OBJECT",,
Class01_Img01_Prompt05,Increase the length of the hair,"CHANGE, SPECIFIC OBJECT",,
Class01_Img02_Prompt01,Add spectacles,"ADDITION, SPECIFIC OBJECT",,
Class01_Img02_Prompt02,Add a men's earring,"ADDITION, SPECIFIC OBJECT",,
Class01_Img02_Prompt03,Change the hairstyle to a top-knot,"CHANGE, SPECIFIC OBJECT",,
Class01_Img02_Prompt04,Change the hair color to chocolate brown,"CHANGE, SPECIFIC OBJECT",,
Class01_Img02_Prompt05,Increase the length of the hair,"CHANGE, SPECIFIC OBJECT",,
Class01_Img03_Prompt01,Add spectacles,"ADDITION, SPECIFIC OBJECT",,
Class01_Img03_Prompt02,Add a men's earring,"ADDITION, SPECIFIC OBJECT",,
Class01_Img03_Prompt03,Change the hairstyle to a top-knot,"CHANGE, SPECIFIC OBJECT",,
Class01_Img03_Prompt04,Change the hair color to chocolate brown,"CHANGE, SPECIFIC OBJECT",,
Class01_Img03_Prompt05,Increase the length of the hair,"CHANGE, SPECIFIC OBJECT",,
Class01_Img04_Prompt01,Add spectacles,"ADDITION, SPECIFIC OBJECT",,
Class01_Img04_Prompt02,Add a nose-piercing,"ADDITION, SPECIFIC OBJECT",,
Class01_Img04_Prompt03,Change the hairstyle to a top-knot,"CHANGE, SPECIFIC OBJECT",,
Class01_Img04_Prompt04,Change the hair color to chocolate brown,"CHANGE, SPECIFIC OBJECT",,
Class01_Img04_Prompt05,Shorten the hair,"CHANGE, SPECIFIC OBJECT",,
Class01_Img05_Prompt01,Add spectacles,"ADDITION, SPECIFIC OBJECT",,
Class01_Img05_Prompt02,Add a nose-piercing,"ADDITION, SPECIFIC OBJECT",,
Class01_Img05_Prompt03,Change the hairstyle to a top-knot,"CHANGE, SPECIFIC OBJECT",,
Class01_Img05_Prompt04,Change the hair color to chocolate brown,"CHANGE, SPECIFIC OBJECT",,
Class01_Img05_Prompt05,Shorten the hair,"CHANGE, SPECIFIC OBJECT",,
Class02_Img01_Prompt01,Change the dressing style to traditional Japanese with a relevant background,"CHANGE, STYLE TRANSFER, BACKGROUND",,
Class02_Img01_Prompt02,Change the dressing style to 1970s Rock and Roll  with the audience in the background,"CHANGE, STYLE TRANSFER, BACKGROUND",,
Class02_Img01_Prompt03,Display the view the man is seeing,CAMERA CONTROL,,
Class02_Img01_Prompt04,Change the shirt to a blue colored shirt with green stars printed as a pattern on it.,"CHANGE, SPECIFIC OBJECT, SPECIFIC DETAIL",,
